Date,City,State,Latitude,Longitude,Shape,Duration,Summary,Images,Url,UrlImage
2/28/23 18:50,Washington,DC,38.8950368,-77.0365427,Light,Ongoing,A motorist stopped us to point out two lighted objects in the sky.    NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174755.html,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/1677628392960205496780358762867-606a389f2f2a884a2234a6095176ca25.jpg
11/6/22 19:46,Washington dc,DC,38.8950368,-77.0365427,Light,38 seconds,3 red lights forming a triangle and maneuvering in sync,Yes,https://nuforc.org/webreports/reports/173/S173540.html,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/4FAC23A5-4D2C-47E0-A53C-25BD16349785-c96603426e1c8d8c8abe3b60eb8e1cd0.jpeg
10/21/22 21:15,Washington DC,DC,38.8950368,-77.0365427,Formation,10 seconds,I was walking home and took a picture of the monument.  ((NUFORC Note:  Lens flare caused by photographing bright lights.  PD)),Yes,https://nuforc.org/webreports/reports/172/S172442.html,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/95779123-5EF3-4CCF-B98B-98A641E5B25F-4419001511cd95bf77dba8681fd15c78.jpeg
10/21/22 20:51,Washington dc,DC,38.8950368,-77.0365427,Formation,5 sec,I was walking home and took a few pic of the monument.  ((NUFORC Note:  Lens flares.  PD)),Yes,https://nuforc.org/webreports/reports/172/S172439.html,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/056EDA89-DE32-403C-BDFB-A4F41DA67B0F-44adfed4551d261990903831fe7ff252.jpeg
8/21/22 21:48,Washington DC,DC,38.8950368,-77.0365427,Light,20 seconds,Fast moving light in sky over Washington DC,,https://nuforc.org/webreports/reports/171/S171305.html,
2/7/22 18:39,"Washington, D.C.",DC,38.8950368,-77.0365427,Unknown,Half a second,I saw something big and pitch black fly between my building and the building across the street that was completely silent.,,https://nuforc.org/webreports/reports/166/S166617.html,
7/1/21 17:24,Washington,DC,38.8950368,-77.0365427,Circle,2 minutes,Spherical UFO flies behind the US capitol building.,,https://nuforc.org/webreports/reports/164/S164757.html,
6/13/21 13:36,Washington,DC,38.8950368,-77.0365427,Other,10 minutes,Georgetown Bridge P Street and 23er Street NW,Yes,https://nuforc.org/webreports/reports/174/S174551.html,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/92FD885E-7035-4B8B-A6D2-55409E8F4816-4d1b38497e603ff7e977becce88a3dd6.jpeg
5/27/21 00:00,"Washington, D.C.",DC,38.8950368,-77.0365427,Light,4 seconds,Light dots moving in the sky,,https://nuforc.org/webreports/reports/163/S163677.html,
5/27/21 06:50,Washington,DC,38.8950368,-77.0365427,Light,10 seconds,Light charging from one dot to multiple dots of light crossing the sky,Yes,https://nuforc.org/webreports/reports/174/S174555.html,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/57998F56-7DBA-4BE4-9FA8-A54DD7F51F55-07df879edba16e518889e939059fb3aa.jpeg
4/14/21 23:29,"Washington, DC",DC,38.8950368,-77.0365427,Triangle,1 hour,"Washington, DC, craft and sky events",,https://nuforc.org/webreports/reports/162/S162992.html,
12/10/20 18:00,Washington,DC,38.8950368,-77.0365427,Light,30 seconds,Bright light not blinking moves across sky making no sound.,,https://nuforc.org/webreports/reports/161/S161166.html,
11/20/20 16:44,Washington,DC,38.8950368,-77.0365427,Circle,10 minutes,In car driving into DC and saw two UFOs,Yes,https://nuforc.org/webreports/reports/168/S168398.html,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/A988F099-2A6F-49C5-B646-D5386917E470-9900df48b9879084b2ba1bd1ecc54868.png
6/16/18 21:58,Washington,DC,38.8950368,-77.0365427,Light,,"Took a photo of the waxing moon June 16, 2018, and notice ufo in photo.",,https://nuforc.org/webreports/reports/141/S141866.html,
5/14/18 00:00,"Washington, D.C.",DC,38.8950368,-77.0365427,Disk,5 minutes,Odd this is the second time its Happened!,,https://nuforc.org/webreports/reports/141/S141492.html,
12/21/17 06:24,Washington,DC,38.8950368,-77.0365427,Unknown,1 minute,Buzzing Lighted Craft.  ((anonymous report)),,https://nuforc.org/webreports/reports/137/S137906.html,
5/12/17 14:30,"Washington, DC",DC,38.8950368,-77.0365427,Orb,1 hour +,"Directly SE of DC, driving S on 395 I saw a BRIGHT yellow light ~3000' in the sky COMPLETELY still.  ((anonymous report))",,https://nuforc.org/webreports/reports/134/S134088.html,
10/2/16 11:00,"Washington, D.C.",DC,38.8950368,-77.0365427,Other,4 minutes,I have never reported a sighting before so please forgive missing details. I was walking home Sunday morning around 1100hrs in northwes,,https://nuforc.org/webreports/reports/130/S130418.html,
8/8/16 22:00,Washington,DC,38.8950368,-77.0365427,Triangle,ongoing,There are 3 lights in the DC sky that are stationary and forming a triangle.,,https://nuforc.org/webreports/reports/129/S129066.html,
4/12/16 01:30,"Washington, D.C.",DC,38.8950368,-77.0365427,Circle,Few seconds,"Watching tv, I see a round object with a bright light coming from it. The object flew across the sky at about",,https://nuforc.org/webreports/reports/126/S126821.html,
3/15/16 23:15,"Washington, D.C.",DC,38.8950368,-77.0365427,Chevron,2 minutes,large boomerang floating across sky in wash.d.c.-observed with night vision goggles.,,https://nuforc.org/webreports/reports/126/S126394.html,
10/17/15 13:00,"Washington, D.C.",DC,38.8950368,-77.0365427,Unknown,10 seconds,"'Unidentified Ground Object' Spotted in Northwest, Washington, DC",,https://nuforc.org/webreports/reports/133/S133145.html,
2/9/15 20:20,"Washington, DC",DC,38.8950368,-77.0365427,Changing,40 minutes,"A colorful object was seen from a far distance. It gave off red, then orange. then yellowish white light.  have pictures.",,https://nuforc.org/webreports/reports/117/S117249.html,
1/1/15 21:25,"Washington, D.C.",DC,38.8950368,-77.0365427,Other,2 minutes,"2 glowing orange crafts, in the shape of hang-gliders, passed across the sky.",,https://nuforc.org/webreports/reports/116/S116440.html,
