ID,City,State,Latitude,Longitude,Tot
0,Hoover,AL,33.3503765,-86.83440279644964,21
1,Vestavia Hills,AL,33.4487989,-86.7879492,2
2,Danville,AL,33.5923261,-86.7699903,2
3,Fairhope,AL,30.5231647,-87.9028458,9
4,Birmingham,AL,33.5206824,-86.8024326,82
5,Anniston,AL,33.6624824,-85.8283224,16
6,Semmes,AL,30.778688,-88.2588427,3
7,jackson,AL,34.7692447,-85.9867941,1
8,Mulga,AL,33.5498286,-86.9741612,1
9,Gadsden,AL,34.010929,-85.9989596,16
10,Brent,AL,32.9373463,-87.1647184,2
11,Gulf Shores,AL,30.2711224,-87.6893826,26
12,Huntsville,AL,34.729847,-86.5859011,82
13,Morris,AL,33.747724,-86.8091343,3
14,Robertsdale,AL,30.5552959,-87.7109526,4
15,Dothan,AL,31.2237434,-85.3933906,35
16,Hartselle,AL,34.4435937,-86.9347899,6
17,Fyffe,AL,34.4470207,-85.9039621,4
18,Mobile,AL,30.6867339,-88.0848929,68
19,Foley,AL,30.4065868,-87.6835974,11
20,Cordova,AL,33.759672,-87.1831681,4
21,Guntersville,AL,34.3581474,-86.2947041,8
22,Montgomery,AL,32.3669656,-86.3006485,30
23,Orange Beach,AL,30.2828398,-87.62460710389821,15
24,TRUSSVILLE,AL,33.686992000000004,-86.53493287907703,1
25,Cullman,AL,34.1335332,-86.8779268,17
26,Opelika,AL,32.6454116,-85.3782795,2
27,Pine Hill,AL,31.9795943,-87.5880561,1
28,Harvest,AL,34.8556441,-86.7508323,4
29,Jemison,AL,32.9596424,-86.7452105,1
30,Loxley,AL,30.6182476,-87.7530454,1
31,Rogersville,AL,34.8256204,-87.2945325,4
32,Chickasaw,AL,30.7637991,-88.0747222,2
33,Fort Payne,AL,34.4442547,-85.7196893,13
34,Gardendale,AL,33.6601033,-86.8127702,11
35,Calera,AL,33.1574625,-86.71061567975207,3
36,Rainbow City,AL,33.9549152,-86.0414098,4
37,Albertville,AL,34.2675937,-86.2088669,3
38,Tuscaloosa,AL,33.2095614,-87.5675258,24
39,Vincent,AL,33.386576500000004,-86.41264521728704,2
40,Altoona,AL,34.031471,-86.32144390654034,3
41,Huntsville Alabama,AL,34.729847,-86.5859011,1
42,Bessemer,AL,33.4017766,-86.954437,6
43,Citronelle,AL,31.0937841,-88.234284,5
44,Silas,AL,31.7654349,-88.3291841,1
45,Decatur,AL,34.6060203,-86.9838165,10
46,Columbia,AL,31.2928122,-85.1115416,3
47,Billingsley,AL,32.659575,-86.717761,1
48,robertsdale,AL,30.5552959,-87.7109526,1
49,Baileyton,AL,34.2623179,-86.6127712,1
50,Moundville,AL,32.9976242,-87.6300075,6
