City,State,Latitude,Longitude
New York,NY,40.7127753,-74.0059728
Los Angeles,CA,34.0522342,-118.2436849
San Francisco,CA,37.7749295,-122.4194155
Salt Lake City,UT,40.7607793,-111.8910474
Seattle,WA,47.6062095,-122.3320708
Denver,CO,39.7392358,-104.990251
Phoenix,AZ,33.4483771,-112.0740373
Dallas,TX,32.7766642,-96.79698789999999
Minneapolis,MN,44.977753,-93.2650108
Chicago,IL,41.8781136,-87.6297982
Detroit,MI,42.331427,-83.0457538
Miami,FL,25.7616798,-80.1917902
Washington,DC,38.9071923,-77.0368707
Boston,MA,42.3600825,-71.0588801
St. Louis,MO,38.6270025,-90.19940419999999
Pittsburgh,PA,40.44062479999999,-79.9958864
